CITY,POSTING_DATE,MAX_PRICE,PRICE_SQFT,AGE,BALCONY_NUM,FLOOR_NUM,BEDROOM_NUM,MAX_AREA_SQFT
7,1685042000,32500001,477941.0,6,1,0,3,6879.56
4,1692528854,415000,381.0,0,0,0,0,101.171364
1,1692534349,20000,51.0,3,1,1,1,36.23217
1,1690541978,8000,6.0,6,2,11,4,116.12875
1,1690541467,8000,6.0,6,2,25,4,116.12875
1,1690542367,7500,7.0,3,2,2,3,104.51588
4,1692087724,6000,7.0,2,2,2,2,78.96755
4,1690545342,6000,2.0,1,2,0,4,278.709
7,1690543531,5000,3.0,1,3,13,3,148.6448
5,1691220608,25000,25.0,3,1,6,2,92.903
6,1688417724,16500,27.0,3,2,4,3,55.7418
0,1687345138,25000,23.0,3,1,7,2,99.40621
2,1691557934,11000,22.0,3,1,3,1,46.4515
2,1689940662,16000,49.0,3,0,1,1,30.193476
8,1692015288,8500,115.0,1,2,11,2,73.57918
4,1692180237,4000,4.0,3,0,0,4,78.96755
8,1689389986,8000,8.0,3,0,2,5,92.903
1,1691558183,23000000,22115.0,1,1,18,2,96.61912
8,1682679923,75000,68.0,6,0,7,2,102.1933
1,1692534349,20000,51.0,3,1,1,1,36.23217
1,1690541978,8000,6.0,6,2,11,4,116.12875
1,1690541467,8000,6.0,6,2,25,4,116.12875
1,1690542367,7500,7.0,3,2,2,3,104.51588
4,1692087724,6000,7.0,2,2,2,2,78.96755
7,1690543531,5000,3.0,1,3,13,3,148.6448
5,1691220608,25000,25.0,3,1,6,2,92.903
6,1688417724,16500,27.0,3,2,4,3,55.7418
0,1687345138,25000,23.0,3,1,7,2,99.40621
8,1690540532,14000,11.0,3,2,4,3,111.4836
8,0,14000,56.0,3,3,2,8,23.22575
5,1688645178,45000,47.0,3,3,20,2,88.72237
4,1691175120,5000,7.0,3,1,3,1,63.17404
1,1690890428,8000,7.0,6,0,21,3,97.08363
7,1683193656,5500,9.0,3,1,5,1,52.02568
4,1691772502,13000,10.0,2,3,12,2,111.4836
8,1691637162,10000,10.0,2,1,5,2,92.903
0,1690541028,10000,7.0,1,1,19,3,125.41905
5,1658763788,13000,8.0,2,3,7,2,139.3545
2,1691557934,11000,22.0,3,1,3,1,46.4515
